563.225,56.748
564.887,58.119
565.434,68.061
565.926,79.953
566.762,69.405
567.99,81.669
569.194,62.483
569.791,55.458
570.576,73.136
572.167,73.306
573.101,47.248
573.649,88.769
575.847,55.477
576.019,55.179
576.686,66.819
577.379,44.799
577.513,51.055
578.727,80.574
579.476,39.921
580.633,44.737
581.278,65.616
582.023,54.002
583.593,76.708
583.796,79.86
584.366,53.483
586.459,59.779
587.023,85.774
587.679,71.899
588.232,39.995
588.672,51.99
589.312,38.724
591.027,44.019
591.4,91.172
592.217,89.381
593.16,66.805
594.063,66.893
594.76,74.765
595.356,80.827
595.79,75.361
596.355,83.586
596.668,86.122
598.529,58.733
599.626,59.223
600.848,85.828
601.795,80.356
602.177,43.649
603.088,68.333
604.009,86.323
605.044,65.636
605.162,87.564
605.689,81.98
606.666,65.305
609.273,46.702
609.805,79.983
610.426,66.076
611.214,67.693
612.12,50.623
612.611,80.34
615.622,67.058
616.511,69.774
185.148,187.84
186.379,210.891
190.146,203.939
192.725,200.574
193.58,191.945
196.524,209.577
198.153,194.02
199.639,189.935
200.871,193.293
202.992,198.882
206.631,195.446
208.041,192.715
209.812,189.853
211.981,200.95
214.217,207.195
216.775,196.353
218.926,212.944
220.754,190.068
221.351,191.195
222.246,185.421
223.856,211.078
224.959,201.679
226.243,191.191
227.497,199.323
232.63,208.815
233.817,198.346
236.097,201.321
241.224,206.679
242.439,191.389
244.763,189.957
245.674,206.491
247.434,208.13
249.004,200.664
